service_id,service_name,service_desc
166,Apply – Unemployment Allowance Application,"Enables submission for unemployment allowance (~50% of wage, up to 2 years) for ESI-registered workers, via bank-linked portal with Aadhaar and ESI information. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Employment, Health Insurance, Public Services."
167,"Apply – Shops & Establishment, Register – New/Renewal Certificate","Portal for businesses to register or renew Shops & Establishment licenses, upload business documents, pay fees, and maintain operational legal compliance. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Employment, Commerce, Legal Services."
168,Apply – Mutation Application,"Landowners submit mutation requests online to update records after inheritance, sale, or partition. Upload sale deed and tax receipt; mutation processed digitally. Primary Domain (~80%): Registration / Legal Services; Cross?Domain (~20%): Taxation, Housing."
169,Apply – ROR Application,"Enables users to request certified copies of Record of Rights – Khatian/Jamabandi via portal using plot/Khatian number; digital ROR issued. Primary Domain (~80%): Registration / Legal Services; Cross?Domain (~20%): Agricultural, Taxation."
170,Apply – Plot Information,"Citizens request digital plot data (area, boundaries, classification) using survey or plot numbers; supports property planning and verification. Primary Domain (~75%): Legal Services; Cross?Domain (~25%): Housing & Utilities, Agriculture."
385,Download – Certificate of Fertilizer License,"Portal allows registered dealers to download official fertilizer license certificates in PDF/e-Copy form using license number. Primary Domain (~75%): Agriculture; Cross?Domain (~25%): Permits & Licenses, Public Services."
173,Apply – Marriage Certificate,"Online issuance of marriage certificate: couples upload Aadhaar, photographs, marriage proof; nomination of witnesses; verification and e-certificate issuance. Primary Domain (~80%): Public Services; Cross?Domain (~20%): Legal, Social Welfare."
174,Search – Mass Education & Library Related Schemes Info,"Provides a catalog of schemes supporting libraries, adult education, literacy programs, grants, and infrastructure opportunities. Primary Domain (~70%): Education; Cross?Domain (~30%): Public Services, Social Welfare."
175,Apply – Karma Sathi Prakalpa Scheme,"Employment-linked scheme enabling unskilled youth to register for governmental projects under MGNREGS or other public works; submit details and receive training allotment. Primary Domain (~80%): Employment; Cross?Domain (~20%): Public Services, Skill Development."
176,Apply – Banglashree Scheme,"Women self-help groups (SHGs) apply for economic assistance and training under Banglashree; requires SHG registration, Aadhaar, bank details, and proposal submission online. Primary Domain (~75%): Social Welfare; Cross?Domain (~20%): Finance, Agriculture, Women Empowerment."
177,Application for Aikyashree Scholarship,"Minority students (Class 1–PhD) apply online for Aikyashree scholarships including tuition fees, exam/hostel cost; log-in supported for renewal and status monitoring. Primary Domain (~80%): Education; Cross?Domain (~20%): Social Welfare, Finance."
178,Apply – Educational Loan Application,"Students apply for government-backed education loans by uploading fee structure, admission proof, collateral/bank guarantee; integrated with NBFC/bank for processing. Primary Domain (~80%): Finance; Cross?Domain (~20%): Education, Legal."
179,Apply – Fresh Term Loan Application,"Farmers or small businesses apply for new term loans such as crop or machinery financing; require land record, income proof, bank statements; status tracked online. Primary Domain (~80%): Finance; Cross?Domain (~20%): Agriculture, Business."
180,Apply – SHG Loan Application,"Self Help Group members submit group loan proposals via portal, upload group registration, SPV documents, banking info; disbursement tracked digitally. Primary Domain (~80%): Finance; Cross?Domain (~20%): Social Welfare, Women Empowerment."
181,Application for Swami Vivekananda Merit Cum Means Scholarship Scheme for Minorities,"Minority students to apply for the scholarship including merit and means component by submitting income certificates, admission letters, result documents; portal supports tracking. Primary Domain (~80%): Education; Cross?Domain (~20%): Social Welfare, Finance."
182,Apply – Construction of Boundary Wall,"Landowners apply for permission to build boundary walls by submitting land deeds, survey maps, structural plan, and paying building plan approval fees. Primary Domain (~75%): Housing & Utilities; Cross?Domain (~25%): Legal, Permits & Licenses."
386,Search – Insecticide License Status,"Allows agro dealers to check insecticide license application/renewal status, including validity start/end dates. Primary Domain (~75%): Agriculture; Cross?Domain (~25%): Permits & Licenses, Public Services."
183,Modify – Term Loan Application,"Applicants submit modifications to existing term loan applications (amount/tenor); update financials/collateral via portal; modifications are verified and updated. Primary Domain (~80%): Finance; Cross?Domain (~20%): Agriculture, Business."
184,Search – Bangla Awas Yojana,"Citizens search online for affordable housing scheme eligibility, site allotment, application status, and subsidy progress for Bangla Awas Yojana. Primary Domain (~70%): Housing & Utilities; Cross?Domain (~30%): Public Services, Social Welfare, Legal."
185,Search – Anandadhara Scheme,"Displays details of ""Anandadhara"" (West Bengal SRLM/NRLM) including SHG formation, micro­finance linkages, vocational training, and income generation (agriculture, fishery, craft); aims for poverty reduction via women’s institutions. Primary Domain (~80%): Social Welfare/Agriculture; Cross?Domain (~20%): Finance, Gender Empowerment, Entrepreneurship. (prd.wb.gov.in)"
186,Search – Guideline & View Job Card Detail,"Enables lookup and download of NREGA job cards: select state/block/panchayat, view household job card number, work-days usage, payment details, and job history. Primary Domain (~80%): Public Services/Employment; Cross?Domain (~20%): Agriculture, Finance."
187,Search – Nirmal Bangla Scheme,"Searches Swachh Bharat–aligned ""Nirmal Bangla"" sanitation status: village OD-free coverage, IHHL construction, public/community toilets, SLWM, and capacity building updates. Primary Domain (~80%): Public Services; Cross?Domain (~20%): Health, Sanitation, Infrastructure."
188,Search – Samabyathi Scheme Information,"Retrieves eligibility, benefit slabs, targeted sectors (agri-fisheries/SHG/WRes), documents, and enrollment process for the West Bengal Samabyathi employment/welfare initiative. Primary Domain (~75%): Social Welfare; Cross?Domain (~25%): Employment, Public Services."
189,NOAPS,"National Old Age Pension scheme details for elderly, including eligibility (?60 yrs), income ceiling, application ID, and pension disbursement via DBT. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Finance, Health."
190,NFBS,"National Family Benefit Scheme info concerning death-in-family benefit; provides eligibility criteria, documentation, disbursement amount and timelines. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Finance, Public Services."
191,NMBS,"National Maternity Benefit Scheme portal with eligibility (pregnant women), benefit amounts, application steps, and processing status. Primary Domain (~80%): Health/Social Welfare; Cross?Domain (~20%): Public Services, Finance."
192,Application for EWS Certificates,"EWS certificate portal for economically weaker sections; apply with income/Aadhaar/property proof to access reservation in education/housing. Primary Domain (~80%): Certificates; Cross?Domain (~20%): Social Welfare, Education, Housing."
194,Search – Gram Panchayat Tax Payment,"Displays GP-level tax payment records including property/trade/sanitation, payment dates, receipts, and pending dues to support GP revenue transparency. Primary Domain (~80%): Taxation; Cross?Domain (~20%): Public Services, Finance."
195,Apply – Online Trade Registration,"Digital portal for applying or renewing trade licenses under GP jurisdiction; upload business proof, ID/GST, pay fees, and receive NOC/license. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Public Services, Finance."
196,Apply – Citizens Grievance Redressal,"Unified grievance submission portal for citizens (water, electricity, roads); users detail issue, upload images, receive case ID, and track resolution. Primary Domain (~80%): Public Services; Cross?Domain (~20%): Legal Services, Consumer Affairs."
197,Information on Hasir Alo scheme,"Provides details on ""Hasir Alo"" cottage industry promotion: eligibility, production clusters, subsidy/training schemes for handicrafts and artisans. Primary Domain (~75%): Social Welfare/Employment; Cross?Domain (~25%): Culture, Rural Development."
198,Apply – New Electricity Connection of LT/HT Application,"Enables new LT/HT (domestic/commercial/industrial) electricity connection applications; upload land proof, ID, load details, pay deposit and processing fees. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Infrastructure, Legal Services."
199,Apply – Payment of WBSEDCL Electricity Bill,"Online portal to fetch and pay electricity bills via account/consumer number; enables payment, e-receipts, history and auto-debit facility. Primary Domain (~80%): Taxation/Utilities; Cross?Domain (~20%): Finance, Public Services."
200,Apply – New Workman Permit,"Enables registration of workman under Factories Act; submit personal/medical ID and employer details to obtain statutory workman permit. Primary Domain (~80%): Employment; Cross?Domain (~20%): Legal Services, Labour Welfare."
201,Apply – New Electrical Supervisor License,"Portal to apply for Electrical Supervisor License: requires trade certificates, experience proof, ID, and exam/fee submission, leading to supervisory license issuance. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Employment, Legal Services."
202,Apply – Renewal of Electrical Supervisor License,"Users renew existing electrical supervisor license by uploading proof of training/refresher courses and paying renewal fees online. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Employment, Professional Regulation."
203,Apply – Contractors License,"Construction contractors apply for license by submitting registration docs, qualification proofs, firm details, bank guarantee, and fees to gain approval. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Housing/Construction, Legal Services."
204,Apply – Renewal of Workman Permit,"Workmen renew their statutory permit by providing employer attestation, ID, and medical fitness certificate to extend work tenure. Primary Domain (~80%): Employment; Cross?Domain (~20%): Legal Services, Labour Compliance."
218,Search – Muktidhara Scheme Information,"Displays guidelines and benefit details for Muktidhara addiction recovery scheme, including counseling centers, eligibility criteria, training modules, and support stipend. Primary Domain (~75%): Health/Social Welfare; Cross?Domain (~25%): Public Services, Legal Rehabilitation."
387,Download – Certificate of Insecticide License,"Agro-dealers can log into the licensing portal to download renewed or new insecticide license certificates in PDF format using license number and OTP authentication. Primary Domain (~75%): Agriculture; Cross-Domain (~25%): Permits & Licenses, Public Services."
205,New National Supervisor Certificate,"Electricians can apply online to obtain a national supervisory license (high-tension equipment). Requires technical qualifications (ITI/diploma), experience proofs, ID, and fee payment, followed by certificate issuance. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Employment, Legal Compliance."
206,Renewal of National Supervisor Certificate,"License holders submit updated training proofs and fees through portal to renew national supervisor certificate for continued electrical supervision practice. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Employment, Professional Regulation."
207,Apply – Permission for Erection of New Lift,"Building owners request permission via the electrical department portal with structural drawings, lift specifications, and fees; followed by inspection and approval under West Bengal Lift rules. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Legal Services, Housing & Utilities (sarthac.gov.in, wbpower.gov.in, wbxpress.com)"
208,Apply – New Lift Attendant Authorization,"Entities apply for certified lift operator authorization by submitting training certificates and fee; portal issues digital authorization after verification. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Employment, Building Safety."
209,Apply – New Lift Owners License,"Building owners apply online for lift operation licenses by providing owner ID, lift drawings, contractors’ license, and paying fees; license is issued after safety clearance. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Housing & Utilities, Public Safety"
210,Apply – Renewal of Lift Owners License,"Portal for renewing existing lift owner license by resubmitting inspection report, insurance details, fees, and obtaining extended license. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Infrastructure Regulation, Public Safety."
211,Search – Drinking Water Schemes,"A query portal listing water supply initiatives like piped connections and community sources; includes coverage maps, project status, and implementation details. Primary Domain (~80%): Public Services/Housing & Utilities; Cross-Domain (~20%): Health, Sanitation."
212,Cooked Mid-Day Meal Project,"Portal for schools to manage midday meal programs using facility and enrollment data, submit menu/attendance stats, claim central/state funding, and track meal outcomes. Primary Domain (~80%): Health/Education; Cross-Domain (~20%): Social Welfare, Public Services"
213,Information on Teachers’ Service Appointment Related Matters,"HR portal outlining teacher recruitment processes, eligibility norms, application windows, posting rules, probation guidelines, and transfer protocols. Primary Domain (~80%): Education; Cross-Domain (~20%): Legal Service, Public Administration."
214,Apply – SSC Examination Application,"Students apply for Secondary School Certificate exams via upload of ID, subject selection, fee payment, and admit card generation through board portal. Primary Domain (~80%): Education; Cross-Domain (~20%): Public Services, Legal Eligibility."
215,Information on Admission/Scholarships/Correction of Mark Sheets,"Unified info portal offering guidance on college admissions, scholarships (Merit, Means, Minority), and procedures for rectifying academic records. Primary Domain (~80%): Education; Cross-Domain (~20%): Public Services, Finance."
216,Online Submission of UDISE Data,"School administrators upload UDISE educational statistics (enrollment, infrastructure, teacher counts) for state/national reporting. Primary Domain (~80%): Education; Cross-Domain (~20%): Public Services, Data Management."
217,Apply – NOC for Self-Financed Schools Application,"Independent schools apply for No Objection Certificate by submitting existing recognition details, infrastructure documents, and fee via education department portal. Primary Domain (~80%): Education; Cross-Domain (~20%): Permits & Licenses, Public Oversight."
378,Apply – New Conductor Licence Application,"Public transport workers apply online for conductor driving permits by submitting training certificates, medical fitness documents, ID proof, and fee for license generation. Primary Domain (~80%): Transport; Cross-Domain (~20%): Employment, Legal Licensing."
219,Apply – SVSKP Application,"Applicants apply to Samajik Vikas Karyakram (SVSKP) by uploading income proof, project proposal, and caste certificate to receive skill-development grants. Primary Domain (~80%): Social Welfare; Cross-Domain (~20%): Finance, Education."
220,Apply – WBSSP Application,"Users apply for West Bengal Student Scholarship Program by submitting educational, financial, and caste documentation to receive tuition assistance. Primary Domain (~80%): Education; Cross-Domain (~20%): Social Welfare, Finance."
221,Utkarsh Bangla,"Youth employment portal for skill certification, job matching, and stipend provisioning under “Utkarsh” initiative; users register profile, upload documents, and complete aptitude modules. Primary Domain (~80%): Employment; Cross-Domain (~20%): Education, Public Services."
222,Swapno Bhor,"A scheme for women entrepreneurs providing micro-grants for income-generating ventures; application portal includes registration, business plan upload, scheme overview, and disbursement tracking. Primary Domain (~80%): Social Welfare; Cross-Domain (~20%): Finance, Women Empowerment."
223,Admission to Polytechnics First Year – JEXPO,"Portal for JEXPO counselling and seat allocation in polytechnic engineering courses; includes application, merit publication, college choice filling, and final seat allotment based on rank. Primary Domain (~80%): Education; Cross-Domain (~20%): Public Services, Technical Employment."
224,Apply – Registration of Candidates for VOCLET,"Enables vocational candidates to register for VOCLET entrance examination by submitting identity and education documents online, paying fees, and generating admit cards for vocational diploma programs. Primary Domain (~80%): Education/Vocational Training; Cross-Domain (~20%): Public Services, Employment."
225,Admission to ITIs – Craftsman Training,"Portal for applying to Industrial Training Institutes’ craftsman training programs, uploading academic and ID proofs, selecting trades, paying fees, and tracking seat allotment. Primary Domain (~80%): Education/Skilling; Cross-Domain (~20%): Employment, Public Services."
226,Admission to ITIs – Apprenticeship Training,"Enables applicants to register for apprenticeship programs linked to ITIs, upload documents, choose employers, and track stipend-linked training status. Primary Domain (~80%): Education/Skilling; Cross-Domain (~20%): Employment, Finance."
227,All India Trade Test,"Registration portal for All India Trade Test certification; applicants upload trade category, training proof, ID, and pay test fees to receive national trade certification. Primary Domain (~80%): Education/Certification; Cross-Domain (~20%): Employment, Standardization."
228,Search – WBTDCL Properties Booking,"WBTDCL portal listing vacation homes and state guest homes; users can search availability, locations, facilities, and place booking requests. Primary Domain (~80%): Public Services/Tourism; Cross-Domain (~20%): Housing, Commerce."
229,Search – West Bengal Homestay,"Online directory of registered homestays in West Bengal, with filters for location/facilities, booking links, compliance certificates, and host ratings. Primary Domain (~80%): Tourism/Hospitality; Cross-Domain (~20%): Permits & Licenses, Public Services."
230,Cancellation of Registration of Approved Tour Operator,"Enables legal cancellation of tour operator registration; users submit application, ID, and operator license details to receive cancellation acknowledgment. Primary Domain (~80%): Permits & Licenses; Cross-Domain (~20%): Tourism, Legal Services."
231,Apply – Integrated City Pass,"Portal for purchasing travel pass for city public transport systems (bus, metro) with Aadhaar and payment options, and enables e-validation. Primary Domain (~80%): Transport/Public Services; Cross-Domain (~20%): Finance, Mobility."
232,Apply – Gatidhara,"Subsidy portal under WBTIDCL offering up to 30% subsidy (max ?1 lakh) on purchase of commercial vehicles; applicants upload vehicle quotations, GST, bank details, and subsidy is disbursed to the financier. Primary Domain (~80%): Transport/Subsidy; Cross-Domain (~20%): Finance, Business (services.india.gov.in, imsaf.in, wbxpress.com)"
260,"Payment of Property Tax (PD, FS and Outstanding)","Enables citizens to calculate and pay property taxes—including planning dues and previous outstanding—via online portal integrated with UPI/net banking, and generates digital receipts. Primary Domain (~80%): Taxation/Utilities; Cross-Domain (~20%): Housing, Finance."
388,Search – Application Status,"A unified search tool (e.g. via Bangla Sahayata Kendra) to check the status of diverse applications like ration cards, certificates, licenses using OTP/Aadhaar. Primary Domain (~80%): Public Services; Cross-Domain (~20%): Legal ID, Digital Access"
233,Apply – Driving Licence,"Citizens apply for learner’s or permanent driving licence via Sarathi portal; includes upload of ID, address, medical certificate, fee payment, test booking, and DL delivery. Primary Domain (~80%): Transport; Cross-Domain (~20%): Legal Compliance, Public Services"
234,Apply – Renewal of Driving Licence,"Licence holders renew via Sarathi portal by uploading medical certificate (if needed), paying fees, and booking test slot; renewed DL is delivered digitally. Primary Domain (~80%): Transport; Cross-Domain (~20%): Legal, Public Services"
235,Apply – New Conductor Licence,"Conductors apply for public transport licence by submitting training proof, medical fitness, ID, and fee to receive conductor permit via transport portal. Primary Domain (~80%): Transport; Cross-Domain (~20%): Employment, Legal Licensing."
236,Apply – Renewal of Conductor Licence,"Enables renewal of existing conductor licence by submitting updated medical/training documents and fees; renewed licence issued digitally. Primary Domain (80%): Transport; Cross-Domain (~20%): Employment, Legal Compliance."
237,Apply – Registration of Vehicles/Two-Wheelers,"Vehicle owners register new two-wheelers/cars with upload of purchase invoice, ID proof, insurance, and tax payment; RC issued digitally. Primary Domain (~80%): Transport; Cross-Domain (~20%): Legal, Finance."
238,Apply – Addition/Alteration/Modification of Entry in Blue Book,"Owners request changes like name, address, or vehicle specs in RC/book by uploading old RC, ID, and proof of changes; updated RC issued. Primary Domain (~80%): Transport; Cross-Domain (~20%): Legal, Public Services."
239,Permit of Contract Carriage Info,"Public users can view tariff info and application process for contract carriage permits (goods/ passenger transport) via transport department portal. Primary Domain (~80%): Transport; Cross-Domain (~20%): Commerce, Regulation."
240,Jaladhara Scheme,"State subsidy scheme providing 30% (max ?1 lakh) for replacing traditional “bhutbhuti” boats with mechanized vessels. Applicants submit boat details and subsidy is routed to WBTIDCL for approval. Primary Domain (~80%): Transport/Subsidy; Cross-Domain (~20%): Infrastructure, Public Safety"
241,Info – Jai Johar Pension Scheme Application,"Portal detailing Jai Johar pension benefits for tribal persons above 60; includes eligibility, required documents (tribal ID, Aadhaar), and grievance/contact info. Primary Domain (~80%): Social Welfare; Cross-Domain (~20%): Finance, Legal Identity."
379,Apply – Renewal of Conductor Licence Application,"Enables conductors to renew their licence via Parivahan portal; includes uploading current licence, proof of medical fitness/training, fee payment, and receiving renewed digital licence. Primary Domain (~80%): Transport; Cross?Domain (~20%): Employment, Legal Compliance. (bankbazaar.com)"
242,Apply – Payment of Municipal & Corporation Tax,"Citizens pay municipal/corporation taxes (property, water, trade) via ULB platforms like OPTICS or KMC portal; features self-assessment, gateway payments, e-receipts, and payment history tracking. Primary Domain (~80%): Taxation; Cross?Domain (~20%): Public Services, Housing & Utilities."
243,Application for mutation of holding in municipality/Municipal Corporation,"Digital mutation application to update property records due to sale/inheritance within municipal jurisdiction; uploads sale deed/tax receipts; applicants get amended holding number entry. Primary Domain (~80%): Registration; Cross?Domain (~20%): Legal Services, Housing, Taxation."
244,Search – e-Services Information of Municipal/Urban services,"Portal listing municipal and urban services (licenses, water, sanitation) with links, eligibility, timelines, and FAQs to guide citizens in online transactions. Primary Domain (~80%): Public Services; Cross?Domain (~20%): Consumer Awareness, Legal Access."
245,Information for sanction of Building Plans & development permission by KMDA,"Details on submission process, fees, and approval criteria for building/demolition plans under KMDA jurisdiction; includes regulation links and timelines. Primary Domain (~80%): Urban Planning; Cross?Domain (~20%): Permits & Licenses, Legal Services, Housing."
246,Apply – Sanction of Water Connection by ADDA,"Digital portal by ADDA for domestic water connections; applicants upload ID/property proofs, pay fees, scheduling inspection, and receive connection confirmation. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Public Services, Legal ID, Infrastructure."
247,Apply – Sanction of Water Connection for Industrial Building in Municipal Areas,"Enables industries to apply for separate industrial water supply via municipal portal; requires trade licence, property plan, and fee payment, followed by inspection and sanction. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Industry Regulation, Public Services, Legal Licensing."
248,Apply – Sanction of Water Connection by SJDA,"Service for potable water connections within SJDA; applicant uploads property documents, pays prescribed fees, schedules verification, and connects to supply. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Urban Infrastructure, Public Services."
267,Info – Old Age Pension Scheme,"Portal outlining eligibility, income thresholds, documents, and monthly disbursement norms for state’s Elder Pension Scheme. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Finance, Legal, Health."
249,Online sanction of Water Connection by KMDA,"KMDA’s dedicated interface for applying for premium water connections in planned areas; includes tier-based fee calculator, document requirements and tracking window. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Urban Planning, Public Services."
250,Search – SWM Demand Print,"Enables citizens to view and print Solid Waste Management charges and demand notices via municipal waste portal for civic compliance. Primary Domain (~80%): Public Services/Sanitation; Cross?Domain (~20%): Housing & Utilities, Taxation."
251,Apply – Issuance of Trade License by NKDA,"NKDA portal for new trade licence applications: upload business registration/GST, map location, pay fees, and receive digital licence upon approval. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Commerce, Legal, Urban Services."
252,Apply – Renewal of Trade License by NKDA,"Enables renewal applications under NKDA jurisdiction with uploading latest credentials, paying renewal fees, and receiving updated license. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Commerce, Legal, Regulatory."
253,Apply – Issuance of Trade Licence in Municipal Areas,"Standard portal for municipal trade licence issuance: upload business details, site plan, ID/GST, pay normed fee, and receive approved e-licence. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Commerce, Legal, Taxation."
254,Conversion of provisional to Permanent Trade Licence in municipal areas,"Business owners convert provisional trade licences to permanent ones via document update, fee submission, and issuance of full licence. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Regulatory Compliance, Commerce."
255,Apply – Renewal of Trade License in Municipal Areas,"Portal allows business to renew trade licence by uploading compliance proof, paying renewal dues, and getting updated licence. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Commerce, Legal."
256,Information on issuance of new occupancy/partial occupancy Certificate by NKDA,"Displays process, fee schedules, and required site documents for obtaining initial or partial occupancy certificates post-construction. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Urban Planning, Legal."
257,Information of renewal of partial occupancy Certificate by NKDA,"Provides guidelines and timelines for renewing/extending occupancy certificates for extensions in buildings with partial occupancy. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Legal, Urban Regulation."
258,Payment of property tax of KMC (for KMC area only),"KMC portal allows property owners to pay taxes (holding, water, sewerage) via online gateway; includes self-assessment and e-receipt features. Primary Domain (~80%): Taxation; Cross?Domain (~20%): Housing & Utilities, Finance."
259,Fees for licence & renewal of KMC (for KMC area only),"Enables businesses to pay various licence and renewal fees (construction, trade, signboard) via KMC portal, generating digital receipts. Primary Domain (~80%): Permits & Licenses; Cross?Domain (~20%): Commerce, Municipal Services."
380,Search – Status of Seed License,"Enables agro-input dealers and farmers to check real-time status of seed dealership or processing licenses via the SeedNet/SATHI portal. Tracks stages like payment, inspection, and final issuance. Primary Domain (~80%): Agriculture/Regulatory; Cross-Domain (~20%): Permits & Licenses, Public Services. (agriinput.matirkatha.net, seedtrace.gov.in)"
261,Permission and Licence for Outdoor Advertisements,"Municipal portal to obtain outdoor advertisement permits for billboards, vehicle wraps, and hoardings. Requires submission of design, location, fee payment, and maintenance compliance. Primary Domain (~75%): Permits & Licenses; Cross-Domain (~25%): Commerce, Public Services, Regulation."
262,Application of Birth Certificate in KMC area,"Enables residents in KMC jurisdiction to apply online for birth certificates by submitting event details and proofs, paying minimal fee, and downloading digitally signed certificate. Primary Domain (~80%): Public Services; Cross-Domain (~20%): Legal Records, Health Documentation."
263,Apply – Cooperative Home Registration,"Portal to register housing cooperatives: upload bylaws, membership lists, office bearer IDs, resolve applications, and receive registration certificate digitally. Primary Domain (~75%): Registration; Cross-Domain (~25%): Housing, Legal Services, Finance."
264,Online Grievance Registration in KMC areas,"Citizens lodge municipal complaints (water, garbage, roads) via KMC portal, upload photos/docs, receive complaint ID, and track resolution progress. Primary Domain (~80%): Public Services; Cross-Domain (~20%): Legal, Consumer Affairs."
265,Search – Jal Dharo Jal Bharo Scheme,"Information portal on water harvesting initiatives—eligibility criteria, subsidy amount, implementation status, and appointment booking for rainwater recharge systems. Primary Domain (~75%): Housing & Utilities/Environment; Cross-Domain (~25%): Public Services, Agriculture."
266,Info – Widow Pension Scheme,"Portal outlining eligibility, income criteria, document list, and benefit disbursal channels for state widow pension schemes. Primary Domain (~80%): Social Welfare; Cross-Domain (~20%): Finance, Legal, Public Services."
268,Information on widow pension under Jai Bangla,"Details of Jai Bangla widow pension including resident criteria, application timelines, resolution portals, and disbursal processes. Primary Domain (~80%): Social Welfare; Cross-Domain (~20%): Finance, Legal Identity."
270,Information on application for disability certificate,"Portal detailing documents, medical certificate norms, eligibility, and issuing offices for state disability certificates. Primary Domain (~80%): Legal Services; Cross-Domain (~20%): Health, Social Welfare, Public Services."
271,Information on application for Kanyashree,"Provides eligibility, documentation, application steps, and benefit tracking for Kanyashree scholarship and grant scheme for girls. Primary Domain (~80%): Social Welfare/Education; Cross-Domain (~20%): Finance, Legal Identity."
272,Apply – Rupashree Prakalpa,"Enables application for ?25,000 financial assistance for marriage of daughters in marginalized families; requires income papers, ID, age proofs, and 10th-pass certificate. Primary Domain (~80%): Social Welfare; Cross-Domain (~20%): Finance, Legal, Education."
273,Search – Khelasree Scheme,"Retrieves information on grants (up to ?100,000) to sportspersons and clubs; includes award categories, eligibility norms, and job assistance provisions. Primary Domain (~75%): Social Welfare/Sports; Cross-Domain (~25%): Employment, Education."
274,Search – Club Grant,"Portal listing financial aid available for youth and sports clubs—forms, funding amounts, training stipends for local clubs. Primary Domain (~70%): Social Welfare; Cross-Domain (~30%): Sports, Community Development."
275,Apply – Grievance to CMO,"Citizens file complaints directly to the Chief Minister’s Office via portal (COVID relief, departmental issues) with document upload and receive case ID and resolution timelines. Primary Domain (~80%): Public Services; Cross-Domain (~20%): Legal, Governance."
276,Search – Gitanjali Scheme Information,"Provides details on cultural grants (Patronage of music/arts) including eligibility, application procedure, and funding amounts under state scheme. Primary Domain (~70%): Social Welfare/Culture; Cross-Domain (~30%): Arts, Education."
277,Amar Thikana,"Portal enabling citizens to record or update their current address under Amar Thikana scheme for targeted delivery of subsidies and communications. Primary Domain (~80%): Public Services; Cross-Domain (~20%): Housing, Legal Identity."
278,Nijasree,"Scheme in partnership with NGOs for homeless rehabilitation; portal provides eligibility, support services, and shelter home allocation for urban homeless. Primary Domain (~75%): Social Welfare; Cross-Domain (~25%): Housing, Health."
279,Permission for buying Mechanised bricks,"Building material licence portal for purchasing compressed mechanized bricks; requires submission of structure plans, material usage evidences, and pays nominal fee. Primary Domain (~75%): Housing & Utilities; Cross-Domain (~25%): Permits & Licenses, Construction."
290,Search – Admit Card Download & Printing for VOCLET,"Enables vocational students to download their VOCLET exam admit cards via exam portal using registration number; includes exam date, centre, and reporting guidelines. Primary Domain (~80%): Education/Vocational; Cross-Domain (~20%): Public Services, Testing."
381,Download – Certificate of Seed License,"Registered seed dealers use SeedNet to download digitally signed PDF of seed dealership/license certificates using licence number and OTP. Primary Domain (~75%): Agriculture/Regulatory; Cross-Domain (~25%): Permits & Licenses, Public Services."
280,Registration of Apartment Owner Association,"Enables society residents to register their Apartment Owners Association under the West Bengal Apartment Ownership Act, 1972 via the e?District portal. Requires applicant and committee details, by?laws, AGM minutes, and deeds; includes online payment, secretary witnessing, AIN tracking, and final digitally stamped registration certificate. Primary Domain (~80%): Housing & Utilities / Legal Services; Cross?Domain (~20%): Public Services, Community Governance."
281,Apply – Pay Now Rent of Flats of Government Housing,"Enables state housing tenants to pay monthly rent via the e?RENT portal by selecting estate & flat number, authenticating with OTP, and generating digital receipts. Covers LIG/MIG/HIG/Hostel rents. Primary Domain (~80%): Housing & Utilities; Cross?Domain (~20%): Finance, Public Services."
282,Search – Working Women Hostel Information,"Public portal listing state-run working-women hostels, including room availability, eligibility norms, fee details, and application links. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Housing, Gender Empowerment."
283,West Bengal Freeship Scheme,"Scholarship scheme covering full tuition fees for economically underprivileged students in higher education, applied via DTE portal with income and academic verification. Primary Domain (~80%): Education / Social Welfare; Cross?Domain (~20%): Finance, Public Services."
